experience_id,experience_name,city,combined_id,sub_category_id,status
2535,Dubai Creek Sightseeing Dhow Cruise,Dubai,3519,1060,available
12522,Tulum Mayan Ruins & Dos Cenotes Tour with Transfers,Cancun,,1032,available
15455,"Pasta-Making Class: Ravioli, Pasta, Sauces and Tiramisu",Rome,,1026,available
16309,The Da Vinci Code,Manchester,3129,1037,available
13283,HeadRock VR Singapore Tickets,Singapore,3038,1055,available
9357,Warner Bros. World and Ferrari World,Dubai,1363,1001,available
9358,"Exclusive Offer: Ferrari World, Warner Bros. World and Yas Waterworld",Abu Dhabi,1363,1001,available
15924,New York Highlights Bike Tour,New York,,1014,available
16927,The Brokenwood Match,Sydney,,1028,available
17445,San Diego City Lights Night Tour,San Diego,,1061,available
17481,KL Hop-on Hop-off Sightseeing Bus Tour,Kuala Lumpur,,1011,available
14680,"Miami Skyline Cruise, Double Decker Bus Tour with optional Everglades Airboat Tour",Miami,,1061,available
10052,The Glass Menagerie,London,167,,available
10536,Florence: Guided Tour to the Duomo With Access to the Cupola,Florence,535,1007,available
10651,Priority Entrance & Guided Tour of the Mosque-Cathedral of Córdoba,Cordoba,1635,1010,available
16398,"Siena, San Gimignano and Chianti Small-Group Tour from Florence",Siena,1691,1010,available
12726,Tulum: Dolphin Encounter,Cancun,2483,1034,available
16588,CityTourCard Munich,Munich,,1008,available
3291,Tower of London Tickets with Crown Jewels,London,1516,1007,available
13320,Singapore National Orchid Garden Tickets,Singapore,3024,1004,available
13896,Krakow Balice Airport Transfers - To/From the City Center,Krakow,,1019,available
17172,Aladdin,New York,,1036,available
10697,Leopoldstadt,London,167,1037,available
14390,Ticket to Scuba Diving at Atlantis Aquaventure,Dubai,383,1003,available
16170,Dublin Self Guided Audio Tour,Dublin,,1012,available
10297,I Love Rome Hop On Hop Off Panoramic Tour,Rome,,1011,available
17610,Swan Lake,London,167,1100,available
10078,Giralda and Cathedral Guided Tour,Seville,1456,1010,available
15050,Semi Private Half Day Santorini City Tour,Santorini,,1013,available
15908,Central Park Bike Tour,New York,,1014,available
